id,sportsbook,event_id,sport,league,home_team,away_team,market_type,selection,selection_type,odds_american,odds_decimal,odds_probability,line,event_start_time,is_live,timestamp
216792627815557,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,2nd_half_point_spread,San Francisco Giants,home,125,2.25,0.4444,-0.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
278329705737839,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,2nd_half_point_spread,Colorado Rockies,away,-153,1.654,0.6047,0.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
107643876257647,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,player_rbis,Luis Arraez,over,127,2.27,0.4405,1.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
1805662357231,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,player_rbis,Bryce Eldridge,over,110,2.1,0.4762,1.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
212870697861087,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,player_rbis,Rafael Devers,over,-142,1.704,0.5868,1.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
2440627812711,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,player_rbis,Heliot Ramos,over,-150,1.667,0.6,1.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
183908200292122,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,player_total_bases,Luis Arraez,over,103,2.03,0.4926,1.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
24898663909123,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,player_total_bases,Jung Hoo Lee,over,110,2.1,0.4762,1.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
87535222107909,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,player_total_bases,T.J. Rumfield,over,133,2.33,0.4292,1.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
122530747244986,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,total_strikeouts,Michael Lorenzen over,over,-112,1.893,0.5283,3.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
13212291502154,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,total_strikeouts,Trevor McDonald under,under,-144,1.694,0.5902,4.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
148072973254055,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,total_strikeouts,Trevor McDonald over,over,111,2.11,0.4739,4.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
180891373720849,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,total_strikeouts,Michael Lorenzen under,under,-112,1.893,0.5283,3.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
206983820078342,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,total_strikeouts,Over,over,100,2,0.5,4.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
44709698296267,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,total_strikeouts,Under,under,-130,1.769,0.5652,4.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
13217724914629,polymarket,mlb_rays_redsox_2026-07-12_b3,baseball,mlb,Boston Red Sox,Tampa Bay Rays,moneyline,Boston Red Sox,home,-120,1.833,0.5455,,2026-07-12T23:44:29.241423Z,False,2026-07-13T01:45:50.346549977Z
184848901208817,polymarket,mlb_rays_redsox_2026-07-12_b3,baseball,mlb,Boston Red Sox,Tampa Bay Rays,moneyline,Tampa Bay Rays,away,120,2.2,0.4545,,2026-07-12T23:44:29.241423Z,False,2026-07-13T01:45:50.346549977Z
126423264746527,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Shea Langeliers,outright,5500,56,0.0179,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
13506570774553,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Ben Rice,outright,1400,15,0.0667,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
136707102362210,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Dillon Dingler,outright,6000,61,0.0164,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
137989841859041,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Pete Alonso,outright,15000,151,0.0066,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
156077041930001,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Yordan Alvarez,outright,-165,1.606,0.6226,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
158428277712884,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Junior Caminero,outright,450,5.5,0.1818,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
17057594422714,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Cody Bellinger,outright,10000,101,0.0099,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
186992679529369,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Miguel Vargas,outright,12500,126,0.0079,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
196720553153109,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Cam Schlittler,outright,7000,71,0.0141,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
203344603289237,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Riley Greene,outright,12500,126,0.0079,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
217985956150575,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Kevin McGonigle,outright,8000,81,0.0123,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
242651918449906,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Bobby Witt Jr.,outright,500,6,0.1667,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
64033198486514,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Nick Kurtz,outright,2000,21,0.0476,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
86036192928286,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Byron Buxton,outright,6000,61,0.0164,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
95960110479952,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Yandy Diaz,outright,15000,151,0.0066,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
97789530685694,fanduel,mlb__mlbplayerawards_2026-07-12_b3,baseball,mlb,MLB Player Awards,,mvp,Julio Rodriguez,outright,4500,46,0.0217,,2026-07-13T01:04Z,False,2026-07-13T01:45:58.346411002Z
69377563735249,kalshi,kalshi_fut_kxmlbdebut_amiller,baseball,mlb,"26JUL13 Before Jul 13, 2026",,outright,"Will Aidan Miller play in a game for any team in the MLB before Jul 13, 2026?: Yes",outright,376,4.76,0.2101,,2026-07-13T03:59:00Z,False,2026-07-13T01:45:58.576582333Z
280242086908024,kalshi,kalshi_fut_kxmlbdebut_ldevries,baseball,mlb,"26JUL13 Before Jul 13, 2026",,outright,"Will Leo De Vries play in a game for any team in the MLB before Jul 13, 2026?: Yes",outright,426,5.26,0.1901,,2026-07-13T03:59:00Z,False,2026-07-13T01:45:58.576582333Z
42873061649469,kalshi,kalshi_fut_kxmlbdebut_mclar,baseball,mlb,"26JUL13 Before Jul 13, 2026",,outright,"Will Max Clark play in a game for any team in the MLB before Jul 13, 2026?: Yes",outright,456,5.56,0.1799,,2026-07-13T03:59:00Z,False,2026-07-13T01:45:58.576582333Z
60469166430031,kalshi,kalshi_fut_kxmlbdebut_twhite,baseball,mlb,"26JUL13 Before Jul 13, 2026",,outright,"Will Thomas White play in a game for any team in the MLB before Jul 13, 2026?: Yes",outright,1900,20,0.05,,2026-07-13T03:59:00Z,False,2026-07-13T01:45:58.576582333Z
266786324151927,kalshi,kalshi_fut_kxmlbdebut_wjenkins,baseball,mlb,"26JUL13 Before Jul 13, 2026",,outright,"Will Walker Jenkins play in a game for any team in the MLB before Jul 13, 2026?: Yes",outright,1150,12.5,0.08,,2026-07-13T03:59:00Z,False,2026-07-13T01:45:58.576582333Z
95488060586271,polymarket,mlb__2871620benrice_2026-07-13_b3,baseball,mlb,,,outright,Will Ben Rice win the 2026 MLB Home Run Derby?: No,outright,-852,1.117,0.895,,2026-07-13T23:59:00Z,False,2026-07-13T01:45:50.346549977Z
98351348667335,polymarket,mlb__2871620benrice_2026-07-13_b3,baseball,mlb,,,outright,Will Ben Rice win the 2026 MLB Home Run Derby?: Yes,outright,852,9.52,0.105,,2026-07-13T23:59:00Z,False,2026-07-13T01:45:50.346549977Z
160227892514909,polymarket,mlb__2871625kyleschwarber_2026-07-13_b3,baseball,mlb,,,outright,Will Kyle Schwarber win the 2026 MLB Home Run Derby?: No,outright,-360,1.278,0.7826,,2026-07-13T23:59:00Z,False,2026-07-13T01:45:50.346549977Z
255869675007157,polymarket,mlb__2871625kyleschwarber_2026-07-13_b3,baseball,mlb,,,outright,Will Kyle Schwarber win the 2026 MLB Home Run Derby?: Yes,outright,360,4.6,0.2174,,2026-07-13T23:59:00Z,False,2026-07-13T01:45:50.346549977Z
105571190295268,polymarket,mlb__2871626munetakamurak_2026-07-13_b3,baseball,mlb,,,outright,Will Munetaka Murakami win the 2026 MLB Home Run Derby?: Yes,outright,525,6.25,0.16,,2026-07-13T23:59:00Z,False,2026-07-13T01:45:50.346549977Z
28275583626640,polymarket,mlb__2871626munetakamurak_2026-07-13_b3,baseball,mlb,,,outright,Will Munetaka Murakami win the 2026 MLB Home Run Derby?: No,outright,-525,1.19,0.84,,2026-07-13T23:59:00Z,False,2026-07-13T01:45:50.346549977Z
18052214347875,kalshi,kalshi_fut_kxmlbasgame_26jul14alnl,baseball,mlb,AL American League,,tournament_winner,Pro Baseball All-Star Game Winner?: Yes,yes,133,2.33,0.4292,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
27259562209791,kalshi,kalshi_fut_kxmlbasgame_26jul14alnl,baseball,mlb,NL National League,,tournament_winner,Pro Baseball All-Star Game Winner?: Yes,yes,-135,1.741,0.5745,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
124253156670033,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,SLANGELIERS23 Shea Langeliers,,outright,Will Shea Langeliers be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,4900,50,0.02,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
126767988997521,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,JSOTO22 Juan Soto,,outright,Will Juan Soto be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,525,6.25,0.16,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
127260694464877,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,LRALEY20 Luke Raley,,outright,Will Luke Raley be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,-335,1.299,0.7701,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
139638379880246,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,PALONSO25 Pete Alonso,,outright,Will Pete Alonso be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,1900,20,0.05,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
144646927172524,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,CWALKER8 Christian Walker,,outright,Will Christian Walker be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,317,4.17,0.2398,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
156484411227076,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,HGOODMAN15 Hunter Goodman,,outright,Will Hunter Goodman be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,1900,20,0.05,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
180650160367121,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,YALVAREZ44 Yordan Alvarez,,outright,Will Yordan Alvarez be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,2400,25,0.04,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
183480971697124,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,BLOWE5 Brandon Lowe,,outright,Will Brandon Lowe be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,3233,33.33,0.03,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
193892844315396,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,MTROUT27 Mike Trout,,outright,Will Mike Trout be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,-223,1.448,0.6904,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
203884141647501,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,MHARRIS23 Michael Harris,,outright,Will Michael Harris be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,-335,1.299,0.7701,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
227155801154161,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,IHAPP8 Ian Happ,,outright,Will Ian Happ be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,355,4.55,0.2198,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
230660526453277,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,CMONTGOMERY12 Colson Montgomery,,outright,Will Colson Montgomery be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,-335,1.299,0.7701,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
243208545791221,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,JWOOD29 James Wood,,outright,Will James Wood be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,-335,1.299,0.7701,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
250746329269996,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,MMUNCY13 Max Muncy (LAD),,outright,Will Max Muncy (LAD) be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,-317,1.315,0.7602,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
258160253539570,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,BWITT7 Bobby Witt Jr.,,outright,Will Bobby Witt Jr. be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,1900,20,0.05,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
263561909803378,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,DBALDWIN30 Drake Baldwin,,outright,Will Drake Baldwin be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,-335,1.299,0.7701,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
273429745483281,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,OCRUZ15 Oneil Cruz,,outright,Will Oneil Cruz be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,733,8.33,0.12,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
273882328270603,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,JRODRIGUEZ Julio Rodriguez,,outright,Will Julio Rodriguez be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,355,4.55,0.2198,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
275711811250862,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,DDINGLER13 Dillon Dingler,,outright,Will Dillon Dingler be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,355,4.55,0.2198,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
2787322269100,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,MOLSON28 Matt Olson,,outright,Will Matt Olson be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,809,9.09,0.11,,2026-07-14T00:00:00Z,False,2026-07-13T01:45:58.576582333Z
